Ref_No,Facility_Name,Service_Type,Contact_Name,Address1,Address2,Address3,Town,Eircode,County,Age_Range,Area,Community,Contact_Name,Email,Phone_Number
TU2015LS001,Fairbrother Childminding Ltd. T/A Orchard Childminding Service ,Full Day,Rosaleen Fairbrother ,Lisduff ,,Errill ,Portlaoise ,R32 KH70,Laois,0 - 6 Years,DML,N/A,Rosaleen Fairbrother,RosaleenFairbrother@yahoo.ie,050 544961
TU2015LS045,Giggles Creche ,Full Day,Sinead Boland Valerie Keating ,The Heritage ,Killenard, ,Portarlington ,R32 XT59,Laois,0 - 6 Years,DML,N/A,Sinead Boland Valerie Keating,gigglesportarlington@eircom.net,057 8645005
TU2015LS055,Giggles Creche ,Full Day,Sinead Boland Valerie Keating ,95 Loughgate ,, ,Portarlington ,R32 PK12,Laois,0 - 6 Years,DML,N/A,Sinead Boland Valerie Keating,gigglesportarlington@eircom.net,057 8640496
TU2015LS029,Graceland Creche & Montessori ,Full Day,Grace Okonkwo ,De Vesci Court ,Fairgreen,Mountmellick Road ,Portlaoise ,N/A,Laois,0 - 6 Years,DML,N/A,Grace Okonkwo Christopher Okonkwo,info@gracelandcreche.ie,057 8666852
TU2015LS028,Graceland Creche & Montessori ,Full Day,Grace Okonkwo ,165 The Hermitage ,, ,Portlaoise ,N/A,Laois,0 - 6 Years,DML,N/A,Grace Okonkwo Christopher Okonkwo,info@gracelandcreche.ie,057 8668558
TU2015LS019,Graiguecullen Parish Childcare Centre CLG ,Full Day,Diane Darcy ,c/o St. Fiacc's Primary School ,Killeshin Road,Graiguecullen ,Carlow  ,R93 KT68,Laois,2 - 6 Years,DML,N/A,Terry Smith,graiguecullen.pcc@gmail.com,059 9137105
TU2015LS046,Happy Days Creche ,Full Day,Evelyn Clancy ,The Square ,, ,Durrow ,D12 F2RH,Laois,0 - 6 Years,DML,N/A,Evelyn Clancy,happydaysdurrow@eircom.net,057 8736962
TU2015LS041,Jelly Tots ,Full Day,Margaret Burke ,Fr. Breen Park ,, ,Abbeyleix ,R32 K65X,Laois,0 - 6 Years,DML,N/A,Mary White,admin@jellys-tots.org,057 8731904
TU2015LS035,Just 4 Kids Creche  ,Full Day,Catriona Robinson ,Whitefields ,Station Road, ,Portarlington ,R32 PO42,Laois,0 - 6 Years,DML,N/A,Catriona Robinson,robinsoncatriona@live.ie,057 8640334
TU2015LS078,Kiddiecare Childcare ,Full Day,Michelle Bowes ,Harbour Street ,, ,Mountmellick ,R32 KV25,Laois,1 - 6 Years,DML,N/A,Michelle Bowes,micbowes@eircom.net,057 8697973
TU2015LS043,Kilminchy School House ,Full Day,Sonya Duggan ,Dublin Road ,, ,Portlaoise ,R32 TX33,Laois,0 - 6 Years,DML,N/A,Sonya Duggan,kilminchyschoolhouse@gmail.com,057 8660017
TU2015LS067,Laois International School Ltd. ,Full Day,Ewa Cala ,Towerhill ,Church Street, ,Portlaoise ,R32 V027,Laois,0 - 6 Years,DML,N/A,Ewa  Cala,schoollaois@hotmail.com,N/A
TU2015LS059,Little Angels ,Full Day,Aishling Aylward ,Galesquarter ,, ,Cullahill , R32 Y49,Laois,0 - 6 Years,DML,N/A,Aishling Aylward,aishlingaylward@gmail.com,N/A
TU2015LS013,Little Stars Creche & Montessori School  ,Full Day,Elaine McDonald ,Kilminchy Village ,, ,Portlaoise ,R32 PE06,Laois,0 - 6 Years,DML,N/A,Elaine McDonald,littlestarslaois@gmail.com,057 866 2149
TU2015LS016,Magic Moments Montessori  ,Full Day,Nuala McEvoy Olivia Kelly ,78 Hawthorn Drive ,, ,Portlaoise ,R32 DX26,Laois,0 - 6 Years,DML,N/A,Nuala McEvoy Olivia Kelly,magicmoments78@gmail.com,057 8667997
TU2015LS040,Na Páistí Community Créche ,Full Day,Niamh Rothwell ,Link Road ,, ,Portarlington ,R32 K510,Laois,0 - 6 Years,DML,N/A,Mary Keogh,nrothwell@eircom.net  ,057 8636836
TU2017LS503,Play Together ,Full Day,Eleanor Peters ,40 Crossneen Manor ,Old Leighlin Road, ,Graiguecullen ,N/A,Laois,2 - 6 Years,DML,N/A,Eleanor Peters,eleanor@carloweducatetogether.ie,N/A
TU2015LS049,Portlaoise Creche and Montessori School ,Full Day,Avril Byrne ,Stradbally Road ,, ,Portlaoise ,R32 TK60,Laois,0 - 6 Years,DML,N/A,Avril  Byrne,byrne.martin64@gmail.com,057 8620176
TU2015LS069,Quinagh Creche & Montessori School ,Full Day,Laura Ralph Linda Fennelly ,Crossneen Manor ,Leighlin Road, ,Carlow ,N/A,Laois,0 - 6 Years,DML,N/A,Laura Ralph Linda Fennelly,Linda.quinagh@gmail.com,059 9182227
TU2016LS002,Quinagh Creche Ltd ,Full Day,Linda Fennelly Laura Ralph ,34 Heatherhill ,Graiguecullen, ,Carlow ,N/A,Laois,0 - 6 Years,DML,N/A,Linda Fennelly Laura Ralph,Linda.quinagh@gmail.com,086 8602856
TU2015LS061,Sonas Mountmellick Community Childcare Ltd ,Full Day,Catriona  O'Hearne ,Mountmellick Business Park ,Irishtown, ,Mountmellick ,R32 4A40,Laois,0 - 6 Years,DML,N/A,Paddy Buggy,mountmellickchildcare@eircom.net,057 8644492
TU2015LS050,Suaimhneas Community Childcare ,Full Day,Carol Donohoe ,Treo Nua Resource Centre ,Harpurs Lane, ,Portlaoise ,R32 C7DD,Laois,0 - 6 Years,DML,N/A,Pamela Bergin,pbergin@portlaoisefrc.ie,057 8686158
TU2018LS506,Superkids Childcare Centre ,Full Day,Sandra Lobanovska ,De Vesci Court ,Fairgreen, ,Portlaoise ,N/A,Laois,1 - 6 Years,DML,,Sandra Lobanovska,email.superkids@gmail.com,087 7785242
TU2015LS034,The Children's House Childcare Centre & Montessori School ,Full Day,Margaret Palmer-Bergin ,44 The Fairway ,Ballyroan Road, ,Abbeyleix ,N/A,Laois,0 - 6 Years,DML,N/A,Margaret Palmer-Bergin,mpalmerbergin@yahoo.co.uk,057 8730001
TU2015LS027,The Maples Creche ,Full Day,Monica Delaney ,Forest Park ,, ,Portlaoise ,R32 A26E,Laois,0 - 6 Years,DML,N/A,Monica Delaney,maplescreche@gmail.com,057 8681762
TU2015LS065,The Rainbow Castle Ltd. ,Full Day,Honorata Puslednik Eillish Vaugh ,41 Blossom Court ,Esker Hills, ,Portlaoise ,R32 KW29,Laois,0 - 6 Years,DML,N/A,Honorata Puslednik,therainbowcastle@gmail.com,057 8651020
TU2015LS011,The Village Creche ,Full Day,Charlotte Doheny ,Bog Road ,, ,Ballyroan ,R32 YP94,Laois,0 - 6 Years,DML,N/A,Edith O'Sullivan,thevillagecreche@gmail.com,057 8757336
TU2015LS030,Tiddlywinks  ,Full Day,Joan O’Connor-Quinn ,Cappanafeacle ,Ballyadams, ,Athy ,N/A,Laois,0 - 6 Years,DML,N/A,Joan O'Connor-Quinn,patq72@gmail.com,059 8625983
TU2015LS036,Timahoe Tots ,Full Day,Deborah Quinn ,Timahoe ,, ,Timahoe ,R32 DD51,Laois,0 - 6 Years,DML,N/A,Deborah Quinn,timahoetots@gmail.com,057 8627011
TU2015LS022,Crettyard Childcare Service ,Part Time,Theresa Fitzpatrick ,The Parish Centre ,Newtown, ,Crettyard ,R93 Y7K4,Laois,2 - 6 Years,DML,N/A,Niamh Campion Nuala Finnegan,stabbansca@gmail.com,056 4401837
TU2015LS001,Fairbrother Childminding Ltd. T/A Orchard Childminding Service ,Part Time,Rosaleen Fairbrother ,Lisduff ,,Errill ,Portlaoise ,R32 KH70,Laois,0 - 6 Years,DML,N/A,Rosaleen Fairbrother,RosaleenFairbrother@yahoo.ie,050 544961
TU2015LS079,Jonix Educational Services Ltd ,Part Time,Aisling O' Toole ,27 Clonboyne Close ,Bellingham Estate, ,Portlaoise ,N/A,Laois,2 - 6 Years,DML,N/A,John Hanson  Nicola Hanson,nicola@jonix.ie,061 303449
TU2015LS040,Na Páistí Community Créche ,Part Time,Niamh Rothwell ,Link Road ,, ,Portarlington ,R32 K510,Laois,0 - 6 Years,DML,N/A,Mary Keogh,nrothwell@eircom.net  ,057 8636836
TU2015LS060,O’Moore Place Childcare  ,Part Time,Fiona Carty ,Aras Eoghain ,O'Moore Place, ,Portlaoise ,R32 DP80,Laois,2 - 6 Years,DML,N/A,Anne  Goodwin,fionacarty@laoispartnership.ie,057 8662732
TU2015LS049,Portlaoise Creche and Montessori School ,Part Time,Avril Byrne ,Stradbally Road ,, ,Portlaoise ,R32 TK60,Laois,0 - 6 Years,DML,N/A,Avril  Byrne,byrne.martin64@gmail.com,057 8620176
TU2018LS506,Superkids Childcare Centre ,Part Time,Sandra Lobanovska ,De Vesci Court ,Fairgreen, ,Portlaoise ,N/A,Laois,1 - 6 Years,DML,,Sandra Lobanovska,email.superkids@gmail.com,087 7785242
TU2015LS011,The Village Creche ,Part Time,Charlotte Doheny ,Bog Road ,, ,Ballyroan ,R32 YP94,Laois,0 - 6 Years,DML,N/A,Edith O'Sullivan,thevillagecreche@gmail.com,057 8757336
TU2017LS501,Triinu's Little Fairyland Childminding ,Childminder,Triinu Tamm ,Cappanarrow ,Camross, ,Portlaoise ,R32 RX81,Laois,0 - 6 Years,DML,N/A,Triinu Tamm,tammtriinu@yahoo.com,086 8761994
TU2015LS023,An Nai Scoil ,Sessional,Mary Mulhall ,Crann Nua ,Edenderry Road, ,Portarlington ,R32 H282,Laois,0 - 6 Years,DML,N/A,Mary Mulhall,lweportarlington@hotmail.com,057 8642433
TU2015LS068,An Tigh Sugradh (Naionra) ,Sessional,Mary Teehan ,Ballaghmore ,, ,Borris in Ossory ,R32 TN62,Laois,2 - 6 Years,DML,N/A,Mary Teehan,teehanmary@yahoo.ie,N/A
TU2017LS500,Baby Bear's Pre-School ,Sessional,Carol Phelan ,30 Clondarrig Court ,Bellingham,Mountrath Road ,Portlaoise ,N/A,Laois,2 - 6 Years,DML,N/A,Carol Phelan,carolconroy@eircom.net,086 3334965
TU2015LS071,Ballyhide Montessori School ,Sessional,Shauna McDonald ,Barrowdale House ,Ballyhide, ,Carlow ,R93 V091,Laois,2 - 6 Years,DML,N/A,Shauna McDonald,scabarry@hotmail.com,059 9137148
TU2015LS006,Bernie Tynan's Preschool ,Sessional,Bernie Tynan ,24 Beechlawn ,, ,Portlaoise ,R32 HE2R,Laois,2 - 6 Years,DML,N/A,Bernie Tynan,bernietynan@gmail.com,057 8620085
TU2015LS008,Claire's Montessori Pre-School ,Sessional,Claire Dempsey ,Acragar ,, ,Mountmellick ,R32 XT22,Laois,2 - 6 Years,DML,N/A,Claire Dempsey,clairesmontessori@eircom.net,057 8644164
TU2015LS064,Corrig Kids ,Sessional,Edel Graham Byrne ,Corrig ,, ,Stradbally ,R32 YORX,Laois,2 - 6 Years,DML,N/A,Edel Graham Byrne,corrigkids@gmail.com,057 8641736
TU2015LS077,Cute & Clever Playschool ,Sessional,Claire Ryan ,Old Convent ,, ,Rathdowney ,R32 W2T8,Laois,2 - 6 Years,DML,N/A,Claire Ryan,claireryan56@gmail.com,050 546464
TU2015LS044,Durrow Community Playgroup Ltd. ,Sessional,Sheila Clancy ,Old Boys School ,Kilkenny Road, ,Durrow ,R32 Y67V,Laois,2 - 6 Years,DML,N/A,Sean Hourihane,Playschoolc@yahoo.co.uk,087 2389140
TU2016LS001,Early Learning Montessori ,Sessional,Sheila Conroy ,St. Mary's School Hall ,Church Avenue, ,Stradbally ,R32 X6T7,Laois,3 - 6 Years,DML,N/A,Sheila Conroy,sheilabconroy@gmail.com,N/A
TU2015LS001,Fairbrother Childminding Ltd. T/A Orchard Childminding Service ,Sessional,Rosaleen Fairbrother ,Lisduff ,,Errill ,Portlaoise ,R32 KH70,Laois,0 - 6 Years,DML,N/A,Rosaleen Fairbrother,RosaleenFairbrother@yahoo.ie,050 544961
TU2015LS005,Happy Days Montessori ,Sessional,Catherine Fitzpatrick ,Clough Hall ,Clough, ,Ballacolla ,R32 EHF5,Laois,2 - 6 Years,DML,N/A,Catherine Fitzpatrick,catherinefitzpatrick@yahoo.co.uk,0505 46750
TU2015LS033,Happy Days Pre-School ,Sessional,Maria Byrne ,Borris Little ,, ,Portlaoise ,R32 W588,Laois,3 - 6 Years,DML,N/A,Maria Byrne,happydaysplay@eircom.net,057 8621502
TU2015LS039,Iosa Linn  ,Sessional,Colette Behan ,Community Centre ,Rath, ,Ballybrittas ,R32 X380,Laois,2 - 6 Years,DML,N/A,Colette  Behan,colettebehan@hotmail.com,086 3690305
TU2015LS062,Jigsaw Childcare ,Sessional,Sulinder Finn ,28 Bruach na hAbhann ,, ,Killeen ,N/A,Laois,2 - 6 Years,DML,N/A,Sulinder Finn,sulinderfinn@live.ie,N/A
TU2015LS051,Jolly Tots Community Playschool ,Sessional,Joan Lacey ,Church Street ,, ,Ballinakill ,R32 NX52,Laois,2 - 6 Years,DML,N/A,Joan Lacey,jollytotsplayschool@hotmail.com,N/A
TU2015LS070,Just 4 Kids Montessori School ,Sessional,Catriona Robinson ,12 Barrow View ,, ,Portarlington ,N/A,Laois,2 - 6 Years,DML,N/A,Catriona Robinson,robinsoncatriona@live.ie,N/A
TU2015LS048,Kiddiecare Pre-School ,Sessional,Michelle Bowes ,Rosenallis Community Centre ,, ,Rosenallis ,R32 VK64,Laois,2 - 6 Years,DML,N/A,Michelle Bowes,micbowes@eircom.net,057 8628885
TU2015LS063,Killadooley Childcare Centre ,Sessional,Mary Ellen Ryan ,Killadooley  ,, ,Ballybrophy ,R32 CD78,Laois,0 - 6 Years,DML,N/A,Frances Fogarty,killadooleychildcare@gmail.com,050 544890
TU2015LS043,Kilminchy School House ,Sessional,Sonya Duggan ,Dublin Road ,, ,Portlaoise ,R32 TX33,Laois,0 - 6 Years,DML,N/A,Sonya Duggan,kilminchyschoolhouse@gmail.com,057 8660017
TU2015LS012,Knock Kids Playschool ,Sessional,Joanne Jennings ,Spink ,, ,Abbeyleix ,R32 DK70,Laois,2 - 6 Years,DML,N/A,Michael McEvoy,knockkidsplayschool@gmail.com,087 6789795
TU2015LS080,Kolbe Pre-School ,Sessional,Phil Dowling ,48 Glenbarrow ,Ballyfin Road, ,Portlaoise ,R32 NP77,Laois,2 - 6 Years,DML,N/A,Mairead Sheedy,kolbepreschool@muiriosa.ie,057 8662708
TU2015LS052,Kuddz Kidz ,Sessional,Martina Cuddy - Ryan ,Camross Village ,, ,Camross Village ,R32 YD39,Laois,2 - 6 Years,DML,N/A,Martina Cuddy - Ryan,martinacuddyryan@yahoo.com,057 8735046
TU2015LS073,Kuddz Kidz Playschool  ,Sessional,Martina Cuddy-Ryan ,Raheen ,, ,Mountrath ,R32 AF57,Laois,2 - 6 Years,DML,N/A,Martina Cuddy-Ryan,martinacuddyryan@yahoo.com,057 8731682
TU2015LS059,Little Angels ,Sessional,Aishling Aylward ,Galesquarter ,, ,Cullahill , R32 Y49,Laois,0 - 6 Years,DML,N/A,Aishling Aylward,aishlingaylward@gmail.com,N/A
TU2015LS076,Little Learners Pre-School  ,Sessional,Margaret Enright ,41 Rochfort Manor ,, ,Graiguecullen ,R93 XK72,Laois,2 - 6 Years,DML,N/A,Margaret  Enright,magsandcozzy@eircom.net,N/A
TU2015LS056,Little Scholars Montessori School ,Sessional,Audrey Whelan ,Dublin Road ,, ,Portlaoise ,R32 KHF3,Laois,2 - 6 Years,DML,N/A,Audrey Whelan,audreymwhelan@gmail.com,N/A
TU2015LS007,Majella's Montessori School ,Sessional,Majella Fitzpatrick ,Acragar Cottage ,, ,Mountmellick ,R32 YK23,Laois,2 - 6 Years,DML,N/A,Majella Fitzpatrick,majella.fitz@hotmail.com,N/A
TU2018LS505,Maples 2 ,Sessional,Kathleen Phelan ,Borris Little ,, ,Portlaoise ,N/A,Laois,3 - 6 Years,DML,N/A,Monica Delaney,maplescreche@gmail.com,057 8663778
TU2015LS009,Merry Mornings ,Sessional,Geraldine Murphy ,Gort na nOir ,Mountrath Road, ,Abbeyleix ,R32 VH6V,Laois,2 - 6 Years,DML,N/A,Fionn Bardon,fionnbardon@hotmail.com,N/A
TU2015LS040,Na Páistí Community Créche ,Sessional,Niamh Rothwell ,Link Road ,, ,Portarlington ,R32 K510,Laois,0 - 6 Years,DML,N/A,Mary Keogh,nrothwell@eircom.net  ,057 8636836
TU2015LS010,Naomh Áine Naíonra ,Sessional,Mary Culleton ,Naomh Áine Garoon ,, ,Mountmellick ,R32 HD37,Laois,2 - 6 Years,DML,N/A,Mary Culleton,mary@naomhaine.ie,057 8624963
TU2015LS025,Norefield Montessori School ,Sessional,Patricia Nuzum ,Norefield House ,, ,Abbeyleix ,R32 C6D7,Laois,2 - 6 Years,DML,N/A,Patricia Nuzum,patricia.nuzum@aubren.com,N/A
TU2015LS024,Pauline's Playgroup ,Sessional,Pauline Brett ,Aisfinto ,Crossneen, ,Carlow ,R93 DY06,Laois,2 - 6 Years,DML,N/A,Pauline Brett,epaulinebrett@yahoo.ie,059 9141305
TU2015LS049,Portlaoise Creche and Montessori School ,Sessional,Avril Byrne ,Stradbally Road ,, ,Portlaoise ,R32 TK60,Laois,0 - 6 Years,DML,N/A,Avril  Byrne,byrne.martin64@gmail.com,057 8620176
TU2015LS058,Rias Kids Academy ,Sessional,Maria Manley ,Cullenbeg Community Centre ,Ballycullenbeg, ,Mountmellick ,R32 R2WF,Laois,2 - 6 Years,DML,N/A,Maria Manley,info@kidsacademy.ie,057 8697000
TU2015LS002,Sandra's Playschool ,Sessional,Sandra Timmons ,Clonincurragh ,, ,Mountrath ,R32 VHF6,Laois,2 - 6 Years,DML,N/A,Sandra Timmons,sandrasplayschool.shore1@gmail.com,087 6802173
TU2015LS072,Shooting Stars Pre-School ,Sessional,Kathleen O’Connor ,Irey ,, ,Ballyfin ,R32 EOP6,Laois,2 - 6 Years,DML,N/A,Kathleen O'Connor-Quinn,kt.oconnor@hotmail.com,N/A
TU2015LS003,Silly Billies Playschool ,Sessional,Bernadette McLoughlin ,Bracklone Street ,, ,Portarlington ,R32 RX47,Laois,2 - 6 Years,DML,N/A,Bernadette McLoughlin,sillybilliesplayschool@gmail.com,057 8623698
TU2015LS075,Sinead Winters Montessori School ,Sessional,Sinead  Winters ,13 Beladd Upper ,, ,Portlaoise ,R32 HXR3,Laois,2 - 6 Years,DML,N/A,Sinead Winters,sineadwintersmontessorischool@gmail.com,N/A
TU2015LS061,Sonas Mountmellick Community Childcare Ltd ,Sessional,Catriona  O'Hearne ,Mountmellick Business Park ,Irishtown, ,Mountmellick ,R32 4A40,Laois,0 - 6 Years,DML,N/A,Paddy Buggy,mountmellickchildcare@eircom.net,057 8644492
TU2015LS047,Stepping Stones Pre-School ,Sessional,Stella Harding ,Old Boy's School ,Gash, ,Castletown ,R32 F859 ,Laois,2 - 6 Years,DML,N/A,Stella Harding,stellaharding1@hotmail.com,N/A
TU2015LS026,Stradbally Montessori  ,Sessional,Maura Delaney ,Vicarstown Road ,, ,Stradbally ,R32 ND62,Laois,2 - 6 Years,DML,N/A,Maura Delaney,mauradelaney1@eircom.net,057 8625337
TU2018LS506,Superkids Childcare Centre ,Sessional,Sandra Lobanovska ,De Vesci Court ,Fairgreen, ,Portlaoise ,N/A,Laois,1 - 6 Years,DML,,Sandra Lobanovska,email.superkids@gmail.com,087 7785242
TU2015LS034,The Children's House Childcare Centre & Montessori School ,Sessional,Margaret Palmer-Bergin ,44 The Fairway ,Ballyroan Road, ,Abbeyleix ,N/A,Laois,0 - 6 Years,DML,N/A,Margaret Palmer-Bergin,mpalmerbergin@yahoo.co.uk,057 8730001
TU2015LS021,The Den  ,Sessional,Eadaoin Brennan ,Killeshin Community Dev. Ltd. ,Killeshin, ,Carlow ,R93 TC79,Laois,2 - 6 Years,DML,N/A,Helen  Curry,thedenkcdl@eircom.net,059 9147909
TU2015LS017,The Den Playgroup ,Sessional,Orlagh McCrory ,10 Carrick Hill ,Dublin Road, ,Portlaoise ,R32 YY5Y,Laois,2 - 6 Years,DML,N/A,Orlagh  McCrory,orlaghmccrory2008@gmail.com,057 8660052
TU2015LS018,The Ferns Preschool ,Sessional,Shelia Dunne ,The Ferns ,Main Street, ,Portarlington ,N/A,Laois,2 - 6 Years,DML,N/A,Shelia Dunne,sheilaldunne@hotmail.com,057 8623383
TU2015LS015,The Old Rectory Playschool ,Sessional,Colette Rigney Mary Molloy ,Coolbanagher ,Emo, ,Portlaoise ,N/A,Laois,2 - 6 Years,DML,N/A,Ingrid Deverell,oldrectoryplayschool@gmail.com,N/A
TU2017LS502,The Old Schoolhouse Playschool ,Sessional,Colette Rigney ,Killimy ,Emo, ,Portlaoise ,R32 KE74,Laois,2 - 6 Years,DML,N/A,Colette Rigney,theoldschoolhouseplayschool@gmail.com,N/A
TU2015LS011,The Village Creche ,Sessional,Charlotte Doheny ,Bog Road ,, ,Ballyroan ,R32 YP94,Laois,0 - 6 Years,DML,N/A,Edith O'Sullivan,thevillagecreche@gmail.com,057 8757336
TU2015LS030,Tiddlywinks  ,Sessional,Joan O’Connor-Quinn ,Cappanafeacle ,Ballyadams, ,Athy ,N/A,Laois,0 - 6 Years,DML,N/A,Joan O'Connor-Quinn,patq72@gmail.com,059 8625983
TU2015LS036,Timahoe Tots ,Sessional,Deborah Quinn ,Timahoe ,, ,Timahoe ,R32 DD51,Laois,0 - 6 Years,DML,N/A,Deborah Quinn,timahoetots@gmail.com,057 8627011
TU2015LS014,Tir na nÓg ,Sessional,Lillie Ward ,St. Joseph’s National School ,Borris in Ossory, ,Portlaoise ,R32 FP79,Laois,2 - 6 Years,DML,N/A,Lillie Ward,lillieward38@gmail.com,0505 41553
TU2015LS057,Tir na nÓg ,Sessional,Bernie Reddin ,Ballymorris Road ,, ,Portarlington ,R32 Y9FB,Laois,2 - 6 Years,DML,N/A,Marie Corcoran,tirnanogpreschool@gmail.com,086 8630039
TU2015LS037,Tir na nÓg Naionra ,Sessional,Nicola Larkin ,Boughlone ,Mountrath Road, ,Portlaoise ,R32 XF40,Laois,2 - 6 Years,DML,N/A,Nicola Larkin,larkin.nikki9876@gmail.com,057 8622229
TU2015LS020,Tir na nÓg Playschool  ,Sessional,Victoria Houlihan ,Old Boys School ,, ,Clonaslee ,R32 WR96,Laois,2 - 6 Years,DML,N/A,Ann Conroy,ClonasleePlaygroup@gmail.com,057 8648988
TU2015LS004,Tots & Co ,Sessional,Colette Phelan ,4 Newline Close ,Newline Road, ,Mountrath ,R32 E526,Laois,2 - 6 Years,DML,N/A,Colette  Phelan,phelancolette@yahoo.ie,N/A
TU2015LS031,Tutor Time   ,Sessional,Beverley Kaye ,Rahin ,Ballylinan, ,Athy ,R14 Y008,Laois,2 - 6 Years,DML,N/A,Beverley Kaye,pbkaye@gmail.com,059 8625497
TU2015LM005,Breffni Childcare ,Full Day,Agnes  Dowd ,Breffni Family Resource Centre ,Breffni Crescent, ,Carrick-on-Shannon ,N41 X9D6,Leitrim,0 - 6 Years,West,N/A,Jackie Daly,childcare@breffnifrc.com,071 9622566
TU2015LM006,Bright Buttons ,Full Day,Paula Guckian ,Day Nursery & After School ,, ,Leitrim Village ,N41 HY98,Leitrim,0 - 6 Years,West,N/A,Paula Guckian,paula@brightbuttonschildcare.ie,071 9623502
TU2015LM007,Cara-Iosa Childcare ,Full Day,Cariosa Bolger ,Drumgildra ,, ,Drumsna ,N41 HV05,Leitrim,0 - 6 Years,West,N/A,Cariosa Bolger,cariosabolger@hotmail.com,071 9625911
TU2015LM020,Carrigallen Childcare Facility Ltd ,Full Day,Tina Gallogly ,Chapel Road ,, ,Carrigallen ,H12 YW01,Leitrim,3 - 6 Years,West,N/A,Dominic Taafe,happyfeetcarrigallen@gmail.com,049 4339812
TU2015LM008,Childhood Days ,Full Day,Eilish Winters ,Laird House ,, ,Drumshanbo ,N41 H3C5,Leitrim,0 - 6 Years,West,N/A,Josephine Cox,childhooddays1@eircom.net,071 9640887
TU2015LM010,Doodles Childcare ,Full Day,Sinead Kelly ,Market St ,, ,Dromahair ,N/A,Leitrim,1 - 6 Years,West,N/A,Mary Broodie,marybrodie@eircom.net,071 9134899
TU2015LM004,Drumshanbo Community Childcare Facilities CLG t/a Bo Peep Kidz ,Full Day,Irene McGovern ,Church Street ,, ,Drumshanbo ,N41 H3C5,Leitrim,0 - 6 Years,West,N/A,Desmond Doyle,irenemcg13@hotmail.com,071 9641987
TU2015LM014,Eivers Lane Childcare Centre (FDC) ,Full Day,Caroline  Kearney ,Eivers Lane ,, ,Mohill ,N41RX25,Leitrim,0 - 6 Years,West,N/A,Padraig McWeeney,eiverslane@gmail.com,071 9632936
TU2015LM018,First Steps Creche ,Full Day,Michelle Dolan ,15 Dartry View ,, ,Kinlough ,F91 VX09,Leitrim,0 - 6 Years,West,N/A,Michelle Dolan,michellefirststeps@yahoo.ie,086 3312558
TU2015LM022,Kinderkare Day Nurseries  ,Full Day,Teresa Singleton ,Lisnagot ,, ,Carrick-on-Shannon ,N41 Y225,Leitrim,0 - 6 Years,West,N/A,Teresa Singleton,kinderkare1@outlook.com,071 9621049
TU2015LM024,Little Acorns Creche ,Full Day,Veronica Harte ,Cluain Alainn ,, ,Carrigallen ,H12 E364,Leitrim,0 - 6 Years,West,N/A,Gerry  Moran,v.littleacorns@hotmail.com,049 4339478
TU2015LM026,Little Stars Nursery ,Full Day,Angeline Pudney ,Shasmore ,, ,Manorhamilton ,F91 X653,Leitrim,0 - 6 Years,West,N/A,Angeline Pudney,littlestars.nursery@hotmail.com,071 9820884
TU2015LM035,Manorhamilton Childcare Services Limited ,Full Day,Emma Curran ,Bee Park Community Centre ,Main Street, ,Manorhamilton ,F91 HCD9,Leitrim,0 - 6 Years,West,N/A,Alice Mitchell,tinyheartscreche@eircom.net,071 9820900
TU2015LM037,Tots Haven Childcare Facility ,Full Day,Sally Cunningham ,Shannon Haven ,, ,Dromod ,N/A,Leitrim,3 - 6 Years,West,N/A,Emer Cox,Totshaven42@gmail.com,071 9658556
TU2015LM015,Eivers Lane  Childcare Centre (Sessional) separate building ,Part Time,Andrea McCrann Alice McTeague ,Cannon Donohoe Hall ,, ,Mohill ,N41RX25,Leitrim,3 - 6 Years,West,N/A,Padraig McWeeney,eiverslane@gmail.com,071 9632936
TU2015LM016,Farmyard Mini World ,Part Time,Lucy Davey ,51 Mc Dermott Terrace  ,, ,Manorhamilton  ,N/A,Leitrim,0 - 6 Years,West,N/A,Lucy Davey,mounttown.davey@yahoo.ie,085 7618970
TU2015LM023,Kinlough Child Care Ltd ,Part Time,Marie McGloin ,The Old VEC Building ,, ,Kinlough ,F91 P7YE,Leitrim,3 - 6 Years,West,N/A,Rita  Brennan,kinloughplayschool@hotmail.com,071 9841081
TU2015LM025,Little Learners Ltd ,Part Time,Margaret McMorrow ,Diffreen ,Glencar, ,Manorhamilton ,F91 KH9N,Leitrim,3 - 6 Years,West,N/A,Mary Kerrigan,mcmorrow.margaret@gmail.com,087 2853671
TU2015LM026,Little Stars Nursery ,Part Time,Angeline Pudney ,Shasmore ,, ,Manorhamilton ,F91 X653,Leitrim,0 - 6 Years,West,N/A,Angeline Pudney,littlestars.nursery@hotmail.com,071 9820884
TU2018LM501,Naíonra Kinderkare ,Part Time,Eilis Lothian ,Gaelscoil Liatroma ,Cora Droma Ruísc, ,Carrick-on-Shannon ,N/A,Leitrim,2 - 6 Years,West,,Teresa Singleton ,kindercare1@outlook.com,087 9152825
TU2015LM032,Shannonside Community Childcare Centre ,Part Time,Barbara Sweeney ,Shanonside View ,Rosebank, ,Carrick on Shannon ,N41 DY99,Leitrim,3 - 6 Years,West,N/A,Donal Fox,rosebank@ldco.ie,071 9622158
TU2015LM034,Sunflower Montessori ,Part Time,Sarah Matthews ,Unit 3   ,Mountain Vista, ,Kinlough ,F91 W443,Leitrim,3 - 6 Years,West,N/A,Sarah Matthews,heronsarah@hotmail.com,071 9843444
